SNo,Surname,OtherNames,CountyCode,County,ConstituencyCode,ConstituencyName,CAWCode,CAWName,PartyCode,PartyName,PartyAbbreviation,ElectionType
166,Kimanzi,John Katua,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,IND,Independent,IND,County Assembly
167,Mukuni,Simon Kageche,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,052,Jirani Mzalendo Asili Party of Kenya,J-MAPK,County Assembly
168,Ng'ang'a,Peter Kariuki,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,033,Kenya African National Union,KANU,County Assembly
169,Mukoya,Gabriel Ormondi,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,011,Kenya Moja Movement,KMM,County Assembly
170,Agutu,Geoffrey Owino,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,031,Kenya Patriots Party,KPP,County Assembly
171,Mwema,Charles Evans,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,071,National Liberal Party,NLP,County Assembly
172,Majua,Michael Ouma,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,021,Orange Democratic Movement,ODM,County Assembly
173,Kithu,John Njeru,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,044,Party of Democratic Unity,PDU,County Assembly
174,Ochieng,Christopher Wandera,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,034,Safina Party,SAFINA,County Assembly
175,Njoka,Julius Maina,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,015,United Democratic Alliance,UDA,County Assembly
176,Musyoka,Antony Ndeto,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,045,Umoja Na Maendeleo Party,UMP,County Assembly
177,Naftal,Onchari Nyaberi Ongeri,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,081,United Progressive Alliance,UPA,County Assembly
178,Munyoki,Kavali,,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,012,Wiper Patriotic Front,WPF,County Assembly
